,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
2867,1730,2259,East London Street,Leith Walk North,55.95995414501485,-3.1871977585476543,55.967918070442884,-3.1735862970647304,15
2738,1728,358,Portobello - Kings Road,Leith Walk,55.957915406923476,-3.118332042090288,55.965039805077325,-3.1766864147848537,15
277,246,1814,Royal Commonwealth Pool,Abbeyhill,55.93900024788878,-3.1739235543155933,55.95524788917224,-3.1722162800950704,15
1008,265,189,Meadows East,City Chambers,55.939809466328285,-3.182738850746431,55.950109330179,-3.190257770093808,15
2521,1721,1097,Tollcross,Gladstone Terrace,55.944248052468346,-3.2031045991104747,55.93796327344498,-3.185021145932069,15
2121,1091,1824,Holyrood Road,Duke Street,55.94955950619123,-3.180413257527788,55.96901164826488,-3.16739470303429,15
1059,265,1744,Meadows East,Morningside Road,55.939809466328285,-3.182738850746431,55.92798534979654,-3.209749771944871,15
1939,1052,358,Surgeons Hall,Leith Walk,55.946642799617116,-3.1854745859388918,55.965039805077325,-3.1766864147848537,15
2835,1730,358,East London Street,Leith Walk,55.95995414501485,-3.1871977585476543,55.965039805077325,-3.1766864147848537,15
1598,1025,1823,Dundee Terrace,Boroughmuir,55.93970989541296,-3.2205889336679547,55.94007146917616,-3.2153358406880836,15
980,264,1731,Pollock Halls,Pleasance Courtyard,55.94008064125911,-3.171746866852459,55.947490592969416,-3.1811121261019646,14
148,189,265,City Chambers,Meadows East,55.950109330179,-3.190257770093808,55.939809466328285,-3.182738850746431,14
3518,1765,260,Haymarket Terrace,Lauriston Place,55.946063966641006,-3.2230240243595745,55.94477165233547,-3.197265856419562,14
1942,1052,1024,Surgeons Hall,Meadow Place,55.946642799617116,-3.1854745859388918,55.940237631689435,-3.194640214184801,14
3635,1767,1744,Bruntsfield Links,Morningside Road,55.9371232399911,-3.206431879393449,55.92798534979654,-3.209749771944871,14
4028,1814,1091,Abbeyhill,Holyrood Road,55.95524788917224,-3.1722162800950704,55.94955950619123,-3.180413257527788,14
13,171,265,George Square,Meadows East,55.943084063011135,-3.1883110727223998,55.939809466328285,-3.182738850746431,14
229,246,253,Royal Commonwealth Pool,Kings Building 2,55.93900024788878,-3.1739235543155933,55.92320215516664,-3.1716462453634904,14
2243,1096,358,West Crosscauseway,Leith Walk,55.9438359841253,-3.1849514084976818,55.965039805077325,-3.1766864147848537,14
4447,2259,1824,Leith Walk North,Duke Street,55.967918070442884,-3.1735862970647304,55.96901164826488,-3.16739470303429,14
126,183,1814,Waverley Bridge,Abbeyhill,55.95198075619354,-3.191890332557904,55.95524788917224,-3.1722162800950704,14
3480,1763,1824,Comely Bank Road,Duke Street,55.95941012836135,-3.2156613606136943,55.96901164826488,-3.16739470303429,14
417,248,1818,Bristo Square,Dynamic Earth,55.945833715992855,-3.1890530720754664,55.95108946523637,-3.17572460948655,14
4229,1822,1819,Edinburgh Park Station,Heriot Watt - Edinburgh Business School,55.92738267693901,-3.307442444578868,55.9088228790413,-3.320113285176247,14
4194,1821,1756,Drumsheugh Place,Western General Hospital,55.95159412232485,-3.2123542850940225,55.96283984266854,-3.234135938375289,14
2976,1738,1738,Wester Coates Terrace,Wester Coates Terrace,55.94564841884954,-3.231847150914064,55.94564841884954,-3.231847150914064,14
